"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
tumor_tissue_num,visit_sample_collection,,dropdown,"Number of Tumor tissue samples","1, 1 | 2, 2 | 3, 3 | 0, None",,,,,,"[tissue_sam_typ(1)] = '1'",,,,,,
normal_tissue_num,visit_sample_collection,,dropdown,"Number of Normal tissue samples","1, 1 | 2, 2 | 3, 3 | 0, None",,,,,,"[tissue_sam_typ(2)] = '1'",,,,,,
coll_date_tissue,visit_sample_collection,,text,"Date of Sample Collection",,,date_ymd,,,,,y,,,,,
coll_time_tissue,visit_sample_collection,,text,"Time of sample collection",,"(hh:mm in 24 hour format)",time,,,,,y,,,,,
coll_personnel_tissue,visit_sample_collection,,dropdown,"Collected by","1, Ayuba | 2, Flavia | 3, Musa Abdullahi | 4, Yakubu | 5, Gei | 6, Other",,,,,,,,,,,,
coll_personnel_tissue_oth,visit_sample_collection,,text,"If Other, Please enter the name",,"(FirstName LastName)",,,,,"[coll_personnel_tissue] = '6'",,,,,,
tumor_type,storage_sample_type_and_aliquots,,text,"Tumor type",,,,,,,,,,,,,
sample_type,storage_sample_type_and_aliquots,,checkbox,"Sample Types","1, Whole Blood | 2, Blood Plasma | 3, Buffy coat | 4, Blood Serum | 5, DNA | 6, PBMC | 7, Tumor Tissue | 8, Normal Tissue | 9, Tumor- Slide (H/E) | 10, Normal - Slide (H/E)","select all that apply",,,,,,,,,,,"7,RNA"
proc_personnel,storage_sample_type_and_aliquots,,dropdown,"Processed by ","1, Banji Osho | 2, Bukola Olubode | 3, Fatima Onawoga | 4, Godwin | 5, Jonathan | 6, Onawoga Fatima | 7, Tina Nwosu | 8, Gei | 9, Other",,,,,,,,,,,,
proc_personnel_oth,storage_sample_type_and_aliquots,,text,"If Other, Please enter the name",,"(FirstName LastName)",,,,,"[proc_personnel] = '8'",,,,,,
process_date,storage_sample_type_and_aliquots,,text,"Processed Date",,,date_ymd,,,,,,,,,,
process_time_actual,storage_sample_type_and_aliquots,,text,"Processed Actual Time",,"(hh:mm in 24 hour format)",time,00:00,,,,,,,,,
process_time_elapsed,storage_sample_type_and_aliquots,,radio,"Time elapsed between sample collection and sample processing","1, Within 2 hours | 2, Between 2-3 hours | 3, More than 3 hours",,,,,,,,,,,,
process_time_hrs,storage_sample_type_and_aliquots,,text,"If the sample is processed more than three hours after sample collection, please enter the number of hours",,hours,,,,,"[process_time_elapsed] = '3'",,,,,,
wb_num_aliq,storage_sample_type_and_aliquots,"Whole Blood",text,"Number of aliquots",,0-4,number,0,4,,"[sample_type(2)] = '2'",,,,,,@HIDDEN
wb_aliq_1,storage_sample_type_and_aliquots,"Whole Blood - Aliquot 1",text,"Whole Blood Aliquot ID 1",,,,,,,"[sample_type(2)] = '2' and [wb_num_aliq] >= 2",,,,,,
process_wb_aliq_1,storage_sample_type_and_aliquots,,yesno,"Is the blood from this Aliquot used for sample processing?",,,,,,,"[sample_type(2)] = '2' and [wb_num_aliq] >= 2",,RH,,,,@HIDDEN
vol_wb_aliq_1,storage_sample_type_and_aliquots,,text,"Volume (in ml)",,,,,,,"[sample_type(2)] = '2' and [wb_num_aliq] >= 2 and [process_wb_aliq_2] = '0'",,,,,,@HIDDEN
vol_wb_aliq_1_initial,storage_sample_type_and_aliquots,,text,"Initial Volume (in ml)",,,,,,,"[sample_type(2)] = '2' and [wb_num_aliq] >= 2 and [process_wb_aliq_2] = '2'",,,,,,"@DEFAULT = [baseline_arm_1][vol_wb_aliq_1]@HIDDEN"
vol_proc_wb_aliq_1,storage_sample_type_and_aliquots,,text,"Volume used for processing(in ml)",,,,,,,"[sample_type(1)] = '1' and [wb_num_aliq] >= 1 and [process_wb_aliq_1] = '1'",,,,,,@HIDDEN
rem_vol_wb_aliq_1,storage_sample_type_and_aliquots,,text,"Remaining Volume(in ml)",,,,,,,"[sample_type(1)] = '1' and [wb_num_aliq] >= 1  and [process_wb_aliq_1] = '1'",,,,,,@HIDDEN
fzr_loc_wb_aliq1,storage_sample_type_and_aliquots,,dropdown,"Location - Freezer","1, APIN Lab(JUTH) | 2, Blood Bank(New JUTH) | 3, New Genomics/PG Lab.CHS(JUTH) | 4, Molecular Biology Laboratory(LUTH) | 5, Central Research laboratory (APIN laboratory, College of Medicine - LUTH)",,,,,,"[sample_type(1)] = '1' and [wb_aliq_1] <> ''",,,,,,@HIDDEN
fzr_num_wb_aliq1,storage_sample_type_and_aliquots,,dropdown,"Freezer Number","1, JUTH - 1 | 2, JUTH - 2 | 3, JUTH - 11 | 4, LUTH - 1 | 5, LUTH - 2",,,,,,"[sample_type(1)] = '1' and [wb_aliq_1] <> ''",,,,,,@HIDDEN
box_wb_aliq1,storage_sample_type_and_aliquots,,text,"Location - Box",,,,,,,"[sample_type(1)] = '1' and [wb_aliq_1] <> ''",,,,,,@HIDDEN
row_wb_aliq1,storage_sample_type_and_aliquots,,text,"Location - Row",,,,,,,"[sample_type(1)] = '1' and [wb_aliq_1] <> ''",,,,,,@HIDDEN
column_wb_aliq1,storage_sample_type_and_aliquots,,text,"Location - Column",,,,,,,"[sample_type(1)] = '1' and [wb_aliq_1] <> ''",,,,,,@HIDDEN
wb_aliq_2,storage_sample_type_and_aliquots,"Whole Blood - Aliquot 2",text,"Whole Blood Aliquot ID 2",,,,,,,"[sample_type(1)] = '1' and [wb_num_aliq] > 1",,,,,,@HIDDEN
process_wb_aliq_2,storage_sample_type_and_aliquots,,yesno,"Is the blood from this Aliquot used for sample processing?",,,,,,,"[sample_type(1)] = '1' and [wb_num_aliq] > 1",,RH,,,,@HIDDEN
vol_wb_aliq_2,storage_sample_type_and_aliquots,,text,"Volume (in ml)",,,,,,,"[sample_type(1)] = '1' and [wb_num_aliq] > 1 and [process_wb_aliq_2] = '0'",,,,,,@HIDDEN
vol_wb_aliq_2_initial,storage_sample_type_and_aliquots,,text,"Initial Volume (in ml)",,,,,,,"[sample_type(1)] = '1' and [process_wb_aliq_2] = '1'",,,,,,@HIDDEN
vol_proc_wb_aliq_2,storage_sample_type_and_aliquots,,text,"Volume used for processing(in ml)",,,,,,,"[sample_type(1)] = '1' and [wb_num_aliq] >1 and [process_wb_aliq_2] = '1'",,,,,,@HIDDEN
rem_vol_wb_aliq_2,storage_sample_type_and_aliquots,,text,"Remaining Volume(in ml)",,,,,,,"[sample_type(1)] = '1' and [wb_num_aliq] > 1 and [process_wb_aliq_2] = '1'",,,,,,@HIDDEN
fzr_loc_wb_aliq2,storage_sample_type_and_aliquots,,dropdown,"Location - Freezer","1, APIN Lab(JUTH) | 2, Blood Bank(New JUTH) | 3, New Genomics/PG Lab.CHS(JUTH) | 4, Molecular Biology Laboratory(LUTH) | 5, Central Research laboratory (APIN laboratory, College of Medicine - LUTH)",,,,,,"[sample_type(1)] = '1' and [wb_num_aliq] > 1 and [wb_aliq_2] <> ''",,,,,,@HIDDEN
fzr_num_wb_aliq2,storage_sample_type_and_aliquots,,dropdown,"Freezer Number","1, JUTH - 1 | 2, JUTH - 2 | 3, JUTH - 11 | 4, LUTH - 1 | 5, LUTH - 2",,,,,,"[sample_type(1)] = '1' and [wb_num_aliq] > 1 and [wb_aliq_2] <> ''",,,,,,@HIDDEN
box_wb_aliq2,storage_sample_type_and_aliquots,,text,"Location - Box",,,,,,,"[sample_type(1)] = '1' and [wb_num_aliq]  > 1 and [wb_aliq_2] <> ''",,,,,,@HIDDEN
row_wb_aliq2,storage_sample_type_and_aliquots,,text,"Location - Row",,,,,,,"[sample_type(1)] = '1' and [wb_num_aliq]  > 1 and [wb_aliq_2] <> ''",,,,,,@HIDDEN
column_wb_aliq2,storage_sample_type_and_aliquots,,text,"Location - Column",,,,,,,"[sample_type(1)] = '1' and [wb_num_aliq] > 1 and [wb_aliq_2] <> ''",,,,,,@HIDDEN
wb_aliq_3,storage_sample_type_and_aliquots,"Whole Blood - Aliquot 3",text,"Whole Blood Aliquot ID 3",,,,,,,"[sample_type(1)] = '1' and [wb_num_aliq] > 2",,,,,,@HIDDEN
process_wb_aliq_3,storage_sample_type_and_aliquots,,yesno,"Is the blood from this Aliquot used for sample processing?",,,,,,,"[sample_type(1)] = '1' and [wb_num_aliq] > 2",,RH,,,,@HIDDEN
vol_wb_aliq_3,storage_sample_type_and_aliquots,,text,"Volume (in ml)",,,,,,,"[sample_type(1)] = '1' and [wb_num_aliq] > 2 and [process_wb_aliq_3] = '0'",,,,,,@HIDDEN
vol_wb_aliq_3_initial,storage_sample_type_and_aliquots,,text,"Initial Volume (in ml)",,,,,,,"[sample_type(1)] = '1' and [process_wb_aliq_3] = '1'",,,,,,@HIDDEN
vol_proc_wb_aliq_3,storage_sample_type_and_aliquots,,text,"Volume used for processing(in ml)",,,,,,,"[sample_type(1)] = '1' and [wb_num_aliq] >2 and [process_wb_aliq_3] = '1'",,,,,,@HIDDEN
rem_vol_wb_aliq_3,storage_sample_type_and_aliquots,,text,"Remaining Volume(in ml)",,,,,,,"[sample_type(1)] = '1' and [wb_num_aliq] > 2 and [process_wb_aliq_3] = '1'",,,,,,@HIDDEN
fzr_loc_wb_aliq3,storage_sample_type_and_aliquots,,dropdown,"Location - Freezer","1, APIN Lab(JUTH) | 2, Blood Bank(New JUTH) | 3, New Genomics/PG Lab.CHS(JUTH) | 4, Molecular Biology Laboratory(LUTH) | 5, Central Research laboratory (APIN laboratory, College of Medicine - LUTH)",,,,,,"[sample_type(1)] = '1' and [wb_num_aliq] > 2 and [wb_aliq_3] <> ''",,,,,,@HIDDEN
fzr_num_wb_aliq3,storage_sample_type_and_aliquots,,dropdown,"Freezer Number","1, JUTH - 1 | 2, JUTH - 2 | 3, JUTH - 11 | 4, LUTH - 1 | 5, LUTH - 2",,,,,,"[sample_type(1)] = '1' and [wb_num_aliq] > 2 and [wb_aliq_3] <> ''",,,,,,@HIDDEN
box_wb_aliq3,storage_sample_type_and_aliquots,,text,"Location - Box",,,,,,,"[sample_type(1)] = '1' and [wb_num_aliq] > 2 and [wb_aliq_3] <> ''",,,,,,@HIDDEN
row_wb_aliq3,storage_sample_type_and_aliquots,,text,"Location - Row",,,,,,,"[sample_type(1)] = '1' and [wb_num_aliq] > 2 and [wb_aliq_3] <> ''",,,,,,@HIDDEN
column_wb_aliq3,storage_sample_type_and_aliquots,,text,"Location - Column",,,,,,,"[sample_type(1)] = '1' and [wb_num_aliq] > 2 and [wb_aliq_3] <> ''",,,,,,@HIDDEN
wb_aliq_4,storage_sample_type_and_aliquots,"Whole Blood - Aliquot 4",text,"Whole Blood Aliquot ID 4",,,,,,,"[sample_type(1)] = '1' and [wb_num_aliq] > 3",,,,,,@HIDDEN
process_wb_aliq_4,storage_sample_type_and_aliquots,,yesno,"Is the blood from this Aliquot used for sample processing?",,,,,,,"[sample_type(1)] = '1' and [wb_num_aliq] > 3",,RH,,,,@HIDDEN
vol_wb_aliq_4,storage_sample_type_and_aliquots,,text,"Volume (in ml)",,,,,,,"[sample_type(1)] = '1' and [wb_num_aliq] > 3 and [process_wb_aliq_3] = '0'",,,,,,@HIDDEN
vol_wb_aliq_4_initial,storage_sample_type_and_aliquots,,text,"Initial Volume (in ml)",,,,,,,"[sample_type(1)] = '1' and [process_wb_aliq_4] = '1'",,,,,,@HIDDEN
vol_proc_wb_aliq_4,storage_sample_type_and_aliquots,,text,"Volume used for processing(in ml)",,,,,,,"[sample_type(1)] = '1' and [wb_num_aliq] >3 and [process_wb_aliq_4] = '1'",,,,,,@HIDDEN
rem_vol_wb_aliq_4,storage_sample_type_and_aliquots,,text,"Remaining Volume(in ml)",,,,,,,"[sample_type(1)] = '1' and [wb_num_aliq] > 3 and [process_wb_aliq_4] = '1'",,,,,,@HIDDEN
fzr_loc_wb_aliq4,storage_sample_type_and_aliquots,,dropdown,"Location - Freezer","1, APIN Lab(JUTH) | 2, Blood Bank(New JUTH) | 3, New Genomics/PG Lab.CHS(JUTH) | 4, Molecular Biology Laboratory(LUTH) | 5, Central Research laboratory (APIN laboratory, College of Medicine - LUTH)",,,,,,"[sample_type(1)] = '1' and [wb_num_aliq] > 3 and [wb_aliq_3] <> ''",,,,,,@HIDDEN
fzr_num_wb_aliq4,storage_sample_type_and_aliquots,,dropdown,"Freezer Number","1, JUTH - 1 | 2, JUTH - 2 | 3, JUTH - 11 | 4, LUTH - 1 | 5, LUTH - 2",,,,,,"[sample_type(1)] = '1' and [wb_num_aliq] > 3 and [wb_aliq_3] <> ''",,,,,,@HIDDEN
box_wb_aliq4,storage_sample_type_and_aliquots,,text,"Location - Box",,,,,,,"[sample_type(1)] = '1' and [wb_num_aliq] > 3 and [wb_aliq_3] <> ''",,,,,,@HIDDEN
row_wb_aliq4,storage_sample_type_and_aliquots,,text,"Location - Row",,,,,,,"[sample_type(1)] = '1' and [wb_num_aliq] > 3 and [wb_aliq_3] <> ''",,,,,,@HIDDEN
column_wb_aliq4,storage_sample_type_and_aliquots,,text,"Location - Column",,,,,,,"[sample_type(1)] = '1' and [wb_num_aliq] > 3 and [wb_aliq_3] <> ''",,,,,,@HIDDEN
tot_vol_wb_aliq_bl,storage_sample_type_and_aliquots,"Whole Blood - Final Volume after processing",calc,"Total Volume of Whole Blood aliquots","sum(if ([baseline_arm_1][process_wb_aliq_1]='0', [baseline_arm_1][vol_wb_aliq_1],[baseline_arm_1][rem_vol_wb_aliq_1]),if ([baseline_arm_1][process_wb_aliq_2]='0', [baseline_arm_1][vol_wb_aliq_2],[baseline_arm_1][rem_vol_wb_aliq_2]),if ([baseline_arm_1][process_wb_aliq_3]='0', [baseline_arm_1][vol_wb_aliq_3],[baseline_arm_1][rem_vol_wb_aliq_3]),if ([baseline_arm_1][process_wb_aliq_4]='0', [baseline_arm_1][vol_wb_aliq_4],[baseline_arm_1][rem_vol_wb_aliq_4]))",,,,,,"[baseline_arm_1][wb_num_aliq] >0",,,,,,@HIDDEN
number_cryovials_pl,storage_sample_type_and_aliquots,"Blood Plasma",text,"Number of aliquots",,0-10,number,0,10,,"[sample_type(2)] = '1'",,,,,,
pl_aliq_1,storage_sample_type_and_aliquots,"Blood Plasma - Aliquot 1",text,"Plasma Aliquot ID 1",,"Sample ID is combination of Unique Subject Code,visit number, and cryovial number",,,,,"[sample_type(2)] = 1 and [number_cryovials_pl]>0",,,,,,
process_pl_aliq_1,storage_sample_type_and_aliquots,,yesno,"Is the plasma from this aliquot used in DNA extraction?",,,,,,,"[sample_type(2)] = 1 and [number_cryovials_pl]>0",,RH,,,,
vol_pl_aliq_1,storage_sample_type_and_aliquots,,text,"Volume (in ml)",,,number,,2,,"[sample_type(2)] = '1' and [process_pl_aliq_1] = '0'",,,,,,
vol_pl_aliq_1_initial,storage_sample_type_and_aliquots,,text,"Initial Volume (in ml)",,,,,,,"[sample_type(2)] = '1' and [process_pl_aliq_1] = '1'",,,,,,@Hidden
rem_vol_pl_aliq_1,storage_sample_type_and_aliquots,,text,"Remaining Volume(in ml)",,,,,,,"[sample_type(2)] = '1' and [process_pl_aliq_1] = '1'",,,,,,
fzr_loc_pl_aliq1,storage_sample_type_and_aliquots,,dropdown,"Location - Freezer","1, APIN Lab(JUTH) | 2, Blood Bank(New JUTH) | 3, New Genomics/PG Lab.CHS(JUTH) | 4, Molecular Biology Laboratory(LUTH) | 5, Central Research laboratory (APIN laboratory, College of Medicine - LUTH)",,,,,,"[sample_type(2)] = '1' and [pl_aliq_1] <> ''",,,,,,
fzr_num_pl_aliq1,storage_sample_type_and_aliquots,,dropdown," Freezer Number","1, JUTH - 1 | 2, JUTH - 2 | 3, JUTH - 11 | 4, LUTH - 1 | 5, LUTH - 2",,,,,,"[sample_type(2)] = '1' and [pl_aliq_1] <> ''",,,,,,
box_pl_aliq1,storage_sample_type_and_aliquots,,text,"Location - Box",,,,,,,"[sample_type(2)] = '1' and [pl_aliq_1]<>""""",,,,,,
row_pl_aliq1,storage_sample_type_and_aliquots,,text,"Location - Row",,,,,,,"[sample_type(2)] = '1' and [pl_aliq_1]<>""""",,,,,,
column_pl_aliq1,storage_sample_type_and_aliquots,,text,"Location - Column",,,,,,,"[sample_type(2)] = '1' and [pl_aliq_1]<>""""",,,,,,
pl_aliq_2,storage_sample_type_and_aliquots,"Blood Plasma - Aliquot 2",text,"Plasma Aliquot ID 2",,"Unique Subject Code,visit number, and cryovial number",,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 1",,,,,,
process_pl_aliq_2,storage_sample_type_and_aliquots,,yesno,"Is the plasma from this aliquot used in DNA extraction?",,,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 1",,RH,,,,
vol_pl_aliq_2,storage_sample_type_and_aliquots,,text,"Volume (in ml)",,,number,,2,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 1 and [process_pl_aliq_2] = '0'",,,,,,
vol_pl_aliq_2_initial,storage_sample_type_and_aliquots,,text,"Initial Volume (in ml)",,,,,,,"[sample_type(2)] = '1' and [process_pl_aliq_2] = '1'",,,,,,@Hidden
rem_vol_pl_aliq_2,storage_sample_type_and_aliquots,,text,"Remaining Volume(in ml)",,,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 1 and [process_pl_aliq_2] = '1'",,,,,,
fzr_loc_pl_aliq2,storage_sample_type_and_aliquots,,dropdown,"Location - Freezer","1, APIN Lab(JUTH) | 2, Blood Bank(New JUTH) | 3, New Genomics/PG Lab.CHS(JUTH) | 4, Molecular Biology Laboratory(LUTH) | 5, Central Research laboratory (APIN laboratory, College of Medicine - LUTH)",,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 1 and [pl_aliq_2]<>""""",,,,,,
fzr_num_pl_aliq2,storage_sample_type_and_aliquots,,dropdown,"Freezer Number","1, JUTH - 1 | 2, JUTH - 2 | 3, JUTH - 11 | 4, LUTH - 1 | 5, LUTH - 2",,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 1 and [pl_aliq_2]<>""""",,,,,,
box_pl_aliq2,storage_sample_type_and_aliquots,,text,"Location - Box",,,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 1 and [pl_aliq_2]<>""""",,,,,,
row_pl_aliq2,storage_sample_type_and_aliquots,,text,"Location - Row",,,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 1 and [pl_aliq_2]<>""""",,,,,,
column_pl_aliq2,storage_sample_type_and_aliquots,,text,"Location - Column",,,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 1 and [pl_aliq_2]<>""""",,,,,,
pl_aliq_3,storage_sample_type_and_aliquots,"Blood Plasma - Aliquot 3",text,"Plasma Aliquot ID 3",,"Unique Subject Code,visit number, and cryovial number",,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 2",,,,,,
process_pl_aliq_3,storage_sample_type_and_aliquots,,yesno,"Is the plasma from this aliquot used in DNA extraction?",,,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 2",,RH,,,,
vol_pl_aliq_3,storage_sample_type_and_aliquots,,text,"Volume (in ml)",,,number,,2,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 2 and [process_pl_aliq_3] = '0'",,,,,,
vol_pl_aliq_3_initial,storage_sample_type_and_aliquots,,text,"Initial Volume (in ml)",,,,,,,"[sample_type(2)] = '1' and [process_pl_aliq_3] = '1'",,,,,,@Hidden
rem_vol_pl_aliq_3,storage_sample_type_and_aliquots,,text,"Remaining Volume(in ml)",,,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 2 and [process_pl_aliq_3] = '1'",,,,,,
fzr_loc_pl_aliq3,storage_sample_type_and_aliquots,,dropdown,"Location - Freezer","1, APIN Lab(JUTH) | 2, Blood Bank(New JUTH) | 3, New Genomics/PG Lab.CHS(JUTH) | 4, Molecular Biology Laboratory(LUTH) | 5, Central Research laboratory (APIN laboratory, College of Medicine - LUTH)",,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 2 and [pl_aliq_3]<>""""",,,,,,
fzr_num_pl_aliq3,storage_sample_type_and_aliquots,,dropdown,"Freezer Number","1, JUTH - 1 | 2, JUTH - 2 | 3, JUTH - 11 | 4, LUTH - 1 | 5, LUTH - 2",,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 2 and [pl_aliq_3]<>""""",,,,,,
box_pl_aliq3,storage_sample_type_and_aliquots,,text,"Location - Box",,,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 2 and [pl_aliq_3]<>""""",,,,,,
row_pl_aliq3,storage_sample_type_and_aliquots,,text,"Location - Row",,,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 2 and [pl_aliq_3]<>""""",,,,,,
column_pl_aliq3,storage_sample_type_and_aliquots,,text,"Location - Column",,,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 2 and [pl_aliq_3]<>""""",,,,,,
pl_aliq_4,storage_sample_type_and_aliquots,"Blood Plasma - Aliquot 4",text,"Plasma Aliquot ID 4",,,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 3",,,,,,
process_pl_aliq_4,storage_sample_type_and_aliquots,,yesno,"Is the plasma from this aliquot used in DNA extraction?",,,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 3",,RH,,,,
vol_pl_aliq_4,storage_sample_type_and_aliquots,,text,"Volume (in ml)",,,number,,2,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 3 and [process_pl_aliq_4] = '0'",,,,,,
vol_pl_aliq_4_initial,storage_sample_type_and_aliquots,,text,"Initial Volume (in ml)",,,,,,,"[sample_type(2)] = '1' and [process_pl_aliq_4] = '1'",,,,,,@Hidden
rem_vol_pl_aliq_4,storage_sample_type_and_aliquots,,text,"Remaining Volume(in ml)",,,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 3 and [process_pl_aliq_4] = '1'",,,,,,
fzr_loc_pl_aliq4,storage_sample_type_and_aliquots,,dropdown,"Location - Freezer","1, APIN Lab(JUTH) | 2, Blood Bank(New JUTH) | 3, New Genomics/PG Lab.CHS(JUTH) | 4, Molecular Biology Laboratory(LUTH) | 5, Central Research laboratory (APIN laboratory, College of Medicine - LUTH)",,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 3 and [pl_aliq_4]<>""""",,,,,,
fzr_num_pl_aliq4,storage_sample_type_and_aliquots,,dropdown,"Freezer Number","1, JUTH - 1 | 2, JUTH - 2 | 3, JUTH - 11 | 4, LUTH - 1 | 5, LUTH - 2",,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 3 and [pl_aliq_4]<>""""",,,,,,
box_pl_aliq4,storage_sample_type_and_aliquots,,text,"Location - Box",,,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 3 and [pl_aliq_4]<>""""",,,,,,
row_pl_aliq4,storage_sample_type_and_aliquots,,text,"Location - Row",,,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 3 and [pl_aliq_4]<>""""",,,,,,
column_pl_aliq4,storage_sample_type_and_aliquots,,text,"Location - Column",,,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 3 and [pl_aliq_4]<>""""",,,,,,
pl_aliq_5,storage_sample_type_and_aliquots,"Blood Plasma - Aliquot 5",text,"Plasma Aliquot ID 5",,,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 4",,,,,,
process_pl_aliq_5,storage_sample_type_and_aliquots,,yesno,"Is the plasma from this aliquot used in DNA extraction?",,,,,,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 4",,RH,,,,
vol_pl_aliq_5,storage_sample_type_and_aliquots,,text,"Volume (in ml)",,,number,,2,,"[sample_type(2)] = '1' and [number_cryovials_pl] > 4 and [process_pl_aliq_5] = '0'",,,,,,
vol_pl_aliq_5_initial,storage_sample_type_and_aliquots,,text,"Initial Volume (in ml)",,,,,,,"[sample_type(2)] = '1' and [process_pl_aliq_5] = '1'",,,,,,@Hidden
